INFO:root:Number of parameters: 4230654
INFO:root:127: Acc-tr:  99.22, Acc-val:  74.36, L-tr: 0.0276, L-val: 2.0765, Time: 1401.028389
INFO:root:128: Acc-tr:  99.26, Acc-val:  74.57, L-tr: 0.0239, L-val: 2.1193, Time: 1412.825548
INFO:root:129: Acc-tr:  99.13, Acc-val:  73.98, L-tr: 0.0283, L-val: 2.0243, Time: 1424.398381
INFO:root:130: Acc-tr:  98.99, Acc-val:  74.09, L-tr: 0.0339, L-val: 2.0938, Time: 1436.412286
INFO:root:131: Acc-tr:  98.92, Acc-val:  74.23, L-tr: 0.0359, L-val: 2.0270, Time: 1448.182432
INFO:root:132: Acc-tr:  99.06, Acc-val:  73.96, L-tr: 0.0305, L-val: 1.9821, Time: 1459.374273
INFO:root:133: Acc-tr:  99.29, Acc-val:  73.62, L-tr: 0.0253, L-val: 2.0730, Time: 1470.764262
INFO:root:134: Acc-tr:  99.26, Acc-val:  74.45, L-tr: 0.0230, L-val: 2.0276, Time: 1482.139537
INFO:root:135: Acc-tr:  99.33, Acc-val:  74.05, L-tr: 0.0220, L-val: 2.0191, Time: 1493.708358
INFO:root:136: Acc-tr:  99.22, Acc-val:  73.95, L-tr: 0.0271, L-val: 1.9624, Time: 1504.868720
INFO:root:137: Acc-tr:  99.22, Acc-val:  74.24, L-tr: 0.0255, L-val: 2.0633, Time: 1515.859542
INFO:root:138: Acc-tr:  99.13, Acc-val:  73.33, L-tr: 0.0273, L-val: 2.0473, Time: 1527.027705
INFO:root:139: Acc-tr:  99.42, Acc-val:  73.41, L-tr: 0.0199, L-val: 2.0848, Time: 1538.157576
INFO:root:140: Acc-tr:  98.95, Acc-val:  74.39, L-tr: 0.0347, L-val: 2.0400, Time: 1549.266330
INFO:root:141: Acc-tr:  98.82, Acc-val:  73.09, L-tr: 0.0413, L-val: 1.9642, Time: 1560.212286
INFO:root:142: Acc-tr:  98.78, Acc-val:  73.96, L-tr: 0.0402, L-val: 1.8288, Time: 1570.988241
INFO:root:143: Acc-tr:  99.42, Acc-val:  74.91, L-tr: 0.0167, L-val: 1.9121, Time: 1581.828102
INFO:root:144: Acc-tr:  99.39, Acc-val:  74.31, L-tr: 0.0203, L-val: 1.8827, Time: 1592.708514
INFO:root:145: Acc-tr:  99.21, Acc-val:  74.09, L-tr: 0.0272, L-val: 1.8644, Time: 1603.538791
INFO:root:146: Acc-tr:  99.13, Acc-val:  73.48, L-tr: 0.0300, L-val: 1.9648, Time: 1614.384207
INFO:root:147: Acc-tr:  98.97, Acc-val:  74.05, L-tr: 0.0347, L-val: 1.9036, Time: 1625.434974
INFO:root:148: Acc-tr:  99.57, Acc-val:  74.14, L-tr: 0.0144, L-val: 1.8923, Time: 1636.389279
INFO:root:149: Acc-tr:  99.52, Acc-val:  74.99, L-tr: 0.0159, L-val: 1.9417, Time: 1647.193896
INFO:root:150: Acc-tr:  99.87, Acc-val:  75.42, L-tr: 0.0041, L-val: 1.8719, Time: 1658.097877
INFO:root:151: Acc-tr: 100.00, Acc-val:  75.61, L-tr: 0.0007, L-val: 1.8782, Time: 1669.018415
INFO:root:152: Acc-tr: 100.00, Acc-val:  75.61, L-tr: 0.0005, L-val: 1.8803, Time: 1679.936530
INFO:root:000: Acc-tr:  82.15, Acc-val:  71.00, L-tr: 0.9760, L-val: 1.0113, Time: 11.060157
INFO:root:001: Acc-tr:  89.81, Acc-val:  70.80, L-tr: 0.5616, L-val: 1.0293, Time: 22.164029
INFO:root:002: Acc-tr:  90.96, Acc-val:  71.10, L-tr: 0.4214, L-val: 1.1151, Time: 33.367741
INFO:root:003: Acc-tr:  91.99, Acc-val:  69.49, L-tr: 0.3189, L-val: 1.2782, Time: 44.378469
INFO:root:004: Acc-tr:  93.05, Acc-val:  68.51, L-tr: 0.2484, L-val: 1.4679, Time: 55.203218
INFO:root:005: Acc-tr:  93.95, Acc-val:  67.33, L-tr: 0.2004, L-val: 1.5634, Time: 65.993576
INFO:root:006: Acc-tr:  94.37, Acc-val:  66.97, L-tr: 0.1872, L-val: 1.7000, Time: 77.073978
